ID;Include?;Year;Paper type (0 = review, 1 = empirical, 2 = meta analysis);Poverty;Adversity;Country (sample, empirical papers only);Low SES sample? (1 = yes, 0 = no, 2 - mixed);"Period of exposure (0 = prenatal; 1 = postnatal <3 years, 2 = mixed, 3 = preconception)";"Study design (0 = cross-sectional; 1 = longitudinal)";Sample size (if prenatal -> dyads);"Poverty measure (0 = education; 1 = income; 2 = SES (composite); 3 = neighbourhood; 4 = mixed; 5 = financial stress; 6 = social mobility; 7 = income-to-needs ratio";Parental early-life adversity (0 = no, 1 = maternal, 2 = paternal, 3 = child, 4 = paternal + maternal);Partner support;Stress;Nutrition;Toxins/Pollution;Substance use;Maternal depression;Maternal mental health;Maternal physical health;Neighbourhood safety/violence;Housing conditions (e.g. overcrowding/household chaos);"Sleep (0 = no; 1 = maternal prenatal; 2 = child)";Preterm birth;Attachment;Neglect;Parenting;Cognitive enrichment;Micronutrients;Breastfeeding;Immune system;Placenta-brain axis;Gut microbiome;Neuroendocrine system (HPA axis);Connectivity and synaptic mechanisms;Epigenetics;Telomere biology;Polygenic risk scores/SNPs;Child outcome - behavioural/cognitive;Child outcome - neuroimaging/neuroendocrine/ANS;Child outcome - SGA (small for gestational age);Child outcome - social mobility
9477;yes;2024;1;1;1;USA;2;1;1;49853;2;3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9378;yes;2023;1;1;1;India;2;0;1;686;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
9325;yes;2024;1;1;1;USA;2;0;1;101;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
9253;yes;2022;1;1;0;USA;1;2;1;10700;3;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
9201;yes;2024;1;1;1;USA;2;1;1;1534;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8983;yes;2023;1;1;1;USA;2;0;1;1118;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
8817;yes;2023;1;1;1;UK;2;1;1;121;3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
8733;yes;2020;1;1;0;USA;1;1;1;109;4;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8682;yes;2023;1;1;1;Mongolia;2;0;1;242;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8390;yes;2020;1;1;1;USA;2;1;0;173;4;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
8120;yes;2020;1;1;0;USA;2;0;1;37;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
8048;yes;2023;1;1;1;UK;2;1;1;13855;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
8011;yes;2022;1;1;0;South Africa;1;2;1;636;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
7938;yes;2017;1;1;1;Canada and Singapore;2;0;1;1360;4;0;1;1;;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;1;0;0;0
7772;yes;2022;1;1;1;Europe;2;1;0;10145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
7543;yes;2024;1;1;1;USA;2;0;1;320;7;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
7394;yes;2020;1;1;1;USA;2;1;1;6550;4;3;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
4263;yes;2024;1;1;1;US;2;2;1;189;5;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
4052;yes;2022;1;1;0;US;1;2;1;28761;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1
3884;yes;2017;1;1;1;Palestine;1;2;1;511;2;1;0;1;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
3728;yes;2024;1;1;1;US;1;1;1;148;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
3680;yes;2015;1;1;1;Germany;1;2;1;134;1;3;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
3581;yes;2023;1;1;1;US;1;1;1;241;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
5155;Yes;2021;1;1;0;USA;2;0;1;144;2;0;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
4760;Yes;2022;1;1;0;USA;1;2;1;399;4;0;;1;1;;;1;1;;1;;;;;;;;;;;;;;1;;;;;1;;
